"","LTER","site.name","StartDate","EndDate","n"
"187","ARC","Trevor Creek 5.3",2016-08-22,2018-06-08,60
"188","ARC","Trevor Creek 6.1",2016-08-22,2018-08-28,70
"189","ARC","Trevor Creek 6.2",2016-08-22,2018-06-08,62
"190","ARC","Trevor Creek 7.1",2016-08-22,2018-08-28,35
"191","ARC","Trevor Creek 7.2",2016-08-22,2018-08-28,24
"192","ARC","Trevor Creek 7.3",2016-08-22,2018-08-28,24
"193","ARC","Trevor Creek 8.1",2016-08-22,2018-08-28,68
"194","ARC","Trevor Creek 8.2",2016-08-22,2018-08-28,68
"195","ARC","Trevor Creek 8.3",2016-08-22,2018-08-28,68
"196","ARC","Trevor Creek 9.1",2016-08-22,2018-08-28,70
"197","ARC","Trevor Creek 9.2",2016-08-22,2018-08-28,70
"198","ARC","Trevor Creek 9.3",2016-08-22,2018-08-28,70
"199","ARC","TW Lower",1992-07-14,2004-08-19,784
"200","ARC","TW Upper",1992-06-17,1993-06-09,22
"201","ARC","TW Weir",1992-06-23,2010-08-16,8052
"202","BcCZO","BC_SW_12",2011-05-10,2017-12-27,3486
"203","BcCZO","BC_SW_2",2011-05-10,2017-12-27,3324
"204","BcCZO","BC_SW_20",2011-05-10,2017-12-27,3908
"205","BcCZO","BC_SW_4",2011-01-10,2017-12-27,3975
"206","BcCZO","GGL_SW_0",2011-01-10,2017-12-28,4251
"207","BcCZO","GGL_SW_0_ISCO",2011-04-22,2017-04-22,8578
"208","BcCZO","GGU_SPW_1",2011-01-10,2017-12-28,3896
"209","BcCZO","GGU_SPW_2",2011-01-10,2017-12-28,3875
"210","BcCZO","GGU_SW_0",2011-01-10,2017-12-28,3763
"211","BcCZO","GGU_SW_0_ISCO",2011-05-05,2016-06-18,5574
"212","BcCZO",NA,NA,NA,213
"213","BNZ","C1",2002-05-21,2007-09-21,954
"214","BNZ","C2",2002-05-21,2007-09-21,1053
"215","BNZ","C3",2002-05-21,2007-09-21,1034
"216","BNZ","C4",2002-05-21,2007-09-21,1036
"217","BNZ","CB",2002-05-21,2007-08-28,981
"218","BNZ","CJ",2002-05-21,2007-09-18,1256
"219","BNZ","P6",2002-05-21,2007-09-21,681
"220","BNZ","PC",2002-05-28,2007-09-18,1134
"221","BNZ","PJ",2002-05-21,2007-09-18,1251
"222","BNZ","TK",2007-09-21,2007-09-21,14
"223","DOE SFA East River","Coal Creek11",2015-12-31,2019-10-18,7052
"224","HBR","ws1",1963-06-15,2017-09-15,6959
"225","HBR","ws2",1963-06-15,2017-08-15,7299
"226","HBR","ws3",1963-06-15,2017-09-15,6991
"227","HBR","ws4",1963-06-15,2017-09-15,7152
"228","HBR","ws5",1963-06-15,2017-09-15,6824
"229","HBR","ws6",1963-06-15,2017-08-15,7404
"230","HBR","ws7",1995-06-15,2017-09-15,3390
"231","HBR","ws8",1995-06-15,2017-09-15,3418
"232","HBR","ws9",1995-06-15,2017-09-15,3375
"233","Ipswitch(Carey)","Aberjona",2010-10-07,2011-09-28,429
"234","Ipswitch(Carey)","Ipswich at Ipswich",2010-10-07,2011-09-28,430
"235","Ipswitch(Carey)","Ipswich at Middleton",2010-10-07,2011-09-28,426
"236","Ipswitch(Carey)","Parker",2010-10-07,2011-09-28,429
"237","KNZ","Kings",2015-05-11,2016-11-30,1608
"238","KNZ","n01b",2015-05-05,2016-10-07,934
"239","KNZ","n02b",2015-05-08,2016-06-20,767
"240","KNZ","n04d",2015-05-05,2016-12-09,1519
"241","KRR(Julian)","S65",1998-05-12,2019-04-29,9645
"242","KRR(Julian)","S65A",1998-05-12,2019-04-29,9647
"243","KRR(Julian)","S65B",1998-05-12,2000-04-24,983
"244","KRR(Julian)","S65C",1998-05-12,2016-11-17,8739
"245","KRR(Julian)","S65D",1998-05-12,2019-04-29,9880
"246","KRR(Julian)","S65E",1998-05-12,2019-04-22,11601
"247","LMP(Wymore)","CB01.5",1991-02-07,2017-03-21,2604
"248","LMP(Wymore)","DCF03",2013-01-15,2016-11-29,2981
"249","LMP(Wymore)","LMP73",1999-09-10,2016-11-29,14353
"250","LMP(Wymore)","LTR20",2004-01-13,2016-11-08,3137
"251","LMP(Wymore)","MLB01",2007-08-14,2016-11-08,1677
"252","LMP(Wymore)","NBR12",2004-01-13,2016-11-08,3089
"253","LMP(Wymore)","NOR27",2000-02-05,2016-11-08,7362
"254","LMP(Wymore)","PWT03",2004-03-16,2016-11-08,2902
"255","LMP(Wymore)","RMB04",2004-01-13,2016-11-08,3075
"256","LMP(Wymore)","SBM0.2",2013-01-15,2016-06-28,2621
"257","LMP(Wymore)","WHB01",2000-02-05,2016-11-29,11034
"258","LUQ","MPR",1989-05-16,2015-12-29,18234
"259","LUQ","Q1",1986-05-20,2015-12-29,20271
"260","LUQ","Q2",1986-05-20,2015-12-29,19282
"261","LUQ","Q3",1986-05-20,2015-12-29,20150
"262","LUQ","QG",1992-02-02,2015-12-29,14829
"263","LUQ","QP",1990-01-25,2015-12-29,12421
"264","LUQ","QPA",1989-06-06,2015-12-29,5485
"265","LUQ","QPB",1989-06-06,2015-12-29,4227
"266","LUQ","QS",1983-01-06,2015-12-29,22487
"267","LUQ","RI",1983-05-24,2015-12-29,15801
"268","LUQ","RS",2003-04-22,2015-12-29,9804
"269","MCM","Andersen Creek at H1",1993-12-09,2019-01-28,1842
"270","MCM","Bohner Stream",1995-01-08,2019-01-29,705
"271","MCM","Canada Stream at F1",1993-12-03,2019-01-21,2353
"272","MCM","Green Creek at F9",1993-12-17,2019-01-22,2258
"273","MCM","Lawson Creek at B3",1993-12-03,2019-01-29,1888
"274","MCM","Onyx River at Lake Vanda Weir",1994-12-30,2019-01-23,1105
"275","MCM","Onyx River at Lower Wright Weir",1994-12-29,2019-02-05,1237
"276","MCM","Priscu Stream at B1",1993-12-15,2019-01-29,1444
"277","MCM","Von Guerard Stream at F6",1994-01-02,2019-01-17,1386
"278","NWT","ALBION",1982-02-11,2018-10-03,11750
"279","NWT","ARIKAREE",1984-06-28,2018-09-20,5056
"280","NWT","MARTINELLI",1984-05-24,2018-08-16,6876
"281","NWT","SADDLE STREAM 007",1994-05-17,2018-06-20,2724
"282","PIE","1",2001-04-10,2001-10-09,20
"283","PIE","10",2001-04-10,2002-11-11,58
"284","PIE","102",2001-04-10,2002-11-11,58
"285","PIE","103",2001-04-10,2002-11-11,43
"286","PIE","104",2001-04-10,2002-11-11,54
"287","PIE","105",2001-04-10,2002-11-11,57
"288","PIE","106",2001-04-10,2001-04-10,4
"289","PIE","108",2001-04-10,2002-11-11,54
"290","PIE","109",2001-04-10,2002-11-11,53
"291","PIE","11",2001-05-08,2001-10-09,21
"292","PIE","110",2001-04-10,2002-11-11,39
"293","PIE","111",2001-04-10,2002-01-16,11
"294","PIE","113",2001-04-10,2002-11-11,36
"295","PIE","114",2001-04-10,2002-11-11,47
"296","PIE","115",2001-04-10,2002-11-11,49
"297","PIE","116",2001-04-10,2002-11-11,35
"298","PIE","117",2001-04-10,2002-11-11,43
"299","PIE","118",2001-04-10,2002-11-11,42
"300","PIE","119",2001-04-10,2002-11-11,46
"301","PIE","12",2001-04-10,2002-11-11,60
"302","PIE","122",2001-05-08,2001-06-12,8
"303","PIE","124",2001-04-10,2002-01-16,24
"304","PIE","125",2001-04-10,2002-11-11,30
"305","PIE","126",2001-04-10,2002-11-11,58
"306","PIE","127",2001-05-08,2002-11-11,26
"307","PIE","129",2001-04-10,2002-11-11,43
"308","PIE","13",2001-04-10,2001-10-09,24
"309","PIE","130",2001-04-10,2001-07-10,16
"310","PIE","14",2001-04-10,2001-04-10,4
"311","PIE","15",2001-04-10,2002-11-11,61
"312","PIE","16",2001-04-10,2002-11-11,54
"313","PIE","17",2001-04-10,2001-10-09,20
"314","PIE","18",2001-04-10,2002-11-11,52
"315","PIE","19",2001-04-10,2002-11-11,60
"316","PIE","2",2001-04-10,2002-11-11,57
"317","PIE","20",2001-04-10,2001-07-10,8
"318","PIE","21",2001-04-10,2002-11-11,57
"319","PIE","22",2001-04-10,2002-11-11,61
"320","PIE","23",2001-04-10,2002-11-11,60
"321","PIE","24",2001-04-10,2002-11-11,60
"322","PIE","25",2001-04-10,2002-11-11,53
"323","PIE","26",2001-04-10,2002-04-10,28
"324","PIE","3",2001-04-10,2002-11-11,61
"325","PIE","4",2001-04-10,2001-10-09,28
"326","PIE","5",2001-04-10,2002-11-11,54
"327","PIE","6",2001-04-10,2001-11-19,24
"328","PIE","7",2001-04-10,2002-11-11,58
"329","PIE","8",2001-04-10,2002-11-11,43
"330","PIE","9",2001-04-10,2002-11-11,58
"331","PIE","BB",2001-04-29,2002-12-29,74
"332","PIE","BLACK",2002-04-11,2002-04-11,10
"333","PIE","FB-BV",2001-05-20,2002-04-11,22
"334","PIE","FB-LOCK",2002-04-11,2002-04-11,10
"335","PIE","FB-MI",2001-04-29,2002-12-29,81
"336","PIE","FB-WA",2001-04-29,2002-12-29,89
"337","PIE","GRAV",2002-04-11,2002-04-11,10
"338","PIE","HB-01",2001-06-24,2002-11-24,57
"339","PIE","HB-DR",2002-04-11,2002-04-11,10
"340","PIE","HB-HAV",2002-04-11,2002-04-11,10
"341","PIE","Hilldale",2001-04-29,2002-11-24,67
"342","PIE","IP00",2001-04-29,2002-12-29,86
"343","PIE","IP01",2001-04-29,2002-12-29,77
"344","PIE","IP03",2001-04-29,2002-12-29,75
"345","PIE","IP04",2001-04-29,2002-12-29,84
"346","PIE","IP06",2001-04-29,2002-12-29,68
"347","PIE","IP08",2001-04-29,2002-11-24,82
"348","PIE","IP10",2001-04-29,2002-12-29,63
"349","PIE","IP11",2001-04-29,2002-12-29,71
"350","PIE","IP12",2002-04-11,2002-04-11,10
"351","PIE","IP13",2001-04-29,2002-06-28,28
"352","PIE","IP14",2001-04-29,2002-11-24,75
"353","PIE","IP16",2001-04-29,2002-11-24,69
"354","PIE","IP18",2001-04-29,2002-12-29,75
"355","PIE","IP20",2001-04-29,2002-12-29,82
"356","PIE","IP22",2001-04-29,2002-11-24,53
"357","PIE","IP24",2001-04-29,2002-12-29,91
"358","PIE","IR-97",2001-05-20,2002-11-24,50
"359","PIE","IR-PS",2001-04-29,2002-11-24,57
"360","PIE","IS_101",2002-01-27,2002-11-24,22
"361","PIE","IS_102",2001-04-29,2002-12-29,78
"362","PIE","IS_103",2001-04-29,2002-12-29,90
"363","PIE","IS_104",2001-04-29,2002-12-29,91
"364","PIE","IS_108",2001-04-29,2001-06-24,12
"365","PIE","IS_110",2001-04-29,2002-12-29,86
"366","PIE","IS_111",2001-04-29,2002-12-29,62
"367","PIE","IS_115",2001-04-29,2002-12-29,84
"368","PIE","IS_118",2001-04-29,2002-12-29,83
"369","PIE","IS_120",2001-04-29,2002-11-24,74
"370","PIE","IS_122",2002-04-11,2002-05-26,14
"371","PIE","IS_127",2001-04-29,2002-12-29,66
"372","PIE","IS_128",2001-04-29,2002-12-29,78
"373","PIE","IS_129",2001-04-29,2002-12-29,60
"374","PIE","IS_131",2001-04-29,2002-12-29,74
"375","PIE","IS_132",2001-04-29,2002-12-29,78
"376","PIE","IS_133",2001-12-30,2002-04-28,26
"377","PIE","IS_135",2001-04-29,2002-12-29,77
"378","PIE","IS_136",2001-04-29,2002-12-29,65
"379","PIE","IS_137",2001-04-29,2002-12-29,79
"380","PIE","IS_138",2001-04-29,2002-12-29,50
"381","PIE","IS_140",2001-04-29,2002-12-29,34
"382","PIE","IS_141",2001-04-29,2002-12-29,57
"383","PIE","IS_142",2001-04-29,2002-12-29,46
"384","PIE","IS_143",2001-04-29,2002-12-29,61
"385","PIE","IS_145",2001-04-29,2002-12-29,70
"386","PIE","IS_147",2001-04-29,2002-12-29,62
"387","PIE","IS_148",2001-04-29,2002-12-29,61
"388","PIE","IS_150",2001-04-29,2002-12-29,53
"389","PIE","IS_152",2001-04-29,2002-11-24,79
"390","PIE","IS_154",2001-04-29,2002-04-11,29
"391","PIE","IS_155",2001-04-29,2002-04-11,36
"392","PIE","IS_160",2001-04-29,2002-12-29,79
"393","PIE","IS_161",2001-04-29,2002-12-29,86
"394","PIE","IS_162",2001-04-29,2002-12-29,65
"395","PIE","IS_163",2001-04-29,2002-12-29,90
"396","PIE","IS_164",2001-04-29,2002-12-29,73
"397","PIE","IS_166",2001-04-29,2002-12-29,91
"398","PIE","IS_167",2001-04-29,2002-12-29,75
"399","PIE","IS_169",2001-06-24,2002-11-24,32
"400","PIE","IS_170",2001-04-29,2002-11-24,72
"401","PIE","IS_172",2001-05-20,2002-05-26,49
"402","PIE","IS_173",2001-05-20,2002-11-24,53
"403","PIE","IS_175",2001-04-29,2002-05-26,34
"404","PIE","LB",2001-04-29,2002-11-24,71
"405","PIE","LB-62",2002-04-11,2002-04-11,10
"406","PIE","MB",2002-04-11,2002-04-11,10
"407","PIE","MB-PR",2002-04-11,2002-04-11,10
"408","PIE","MB-SAL",2002-04-11,2002-04-11,10
"409","PIE","MB01",2001-04-29,2002-11-24,62
"410","PIE","MMB",2001-04-29,2002-11-24,70
"411","PIE","MPO",2002-04-11,2002-04-11,10
"412","PIE","MR-1A",2001-04-29,2002-12-29,79
"413","PIE","MR-BR",2002-04-11,2002-04-11,10
"414","PIE","MR-LR",2002-04-11,2002-04-11,10
"415","PIE","NB",2002-04-11,2002-04-11,10
"416","PIE","YSI-CC",2001-06-12,2001-10-04,48
"417","PIE","YSI-FB",2001-06-22,2001-09-26,30
"418","PIE","YSI-IR",2001-06-27,2001-09-28,36
"419","PIE","YSI-SB",2001-06-22,2001-10-04,43
"420","Sagehen(Sullivan)","Sagehen",1968-05-16,2020-06-09,5402
"421","Tanguro(Jankowski)","APP1",2013-09-16,2015-03-12,171
"422","Tanguro(Jankowski)","APP2",2013-02-27,2015-03-10,159
"423","Tanguro(Jankowski)","APP2A",2013-02-27,2015-03-10,153
"424","Tanguro(Jankowski)","APP3",2013-11-27,2015-03-11,140
"425","Tanguro(Jankowski)","APP4",2013-11-26,2015-03-11,143
"426","Tanguro(Jankowski)","APP5",2013-11-26,2015-03-11,128
"427","Tanguro(Jankowski)","APP67",2013-02-28,2015-03-12,160
"428","Tanguro(Jankowski)","APPCascavel",2013-11-20,2015-03-09,144
"429","Tanguro(Jankowski)","APPM",2013-11-28,2015-03-10,138
"430","UMR(Jankowski)","BK01.0M",1997-01-21,2019-11-11,5180
"431","UMR(Jankowski)","CH00.1M",1997-01-13,2019-11-15,5006
"432","UMR(Jankowski)","CN00.1M",1996-12-31,2019-11-15,4935
"433","UMR(Jankowski)","CU11.6M",1997-01-03,2019-11-14,4615
"434","UMR(Jankowski)","I080.2M",1996-12-31,2019-11-15,4886
"435","UMR(Jankowski)","LM00.5M",1997-03-11,2019-11-15,4588
"436","UMR(Jankowski)","M078.0B",1996-12-11,2019-11-18,5202
"437","UMR(Jankowski)","M241.4K",1997-01-02,2019-11-14,4922
"438","UMR(Jankowski)","M556.4A",1997-01-15,2019-11-14,5575
"439","UMR(Jankowski)","M701.1B",1997-01-08,2019-11-12,5796
"440","UMR(Jankowski)","M764.3A",1996-12-30,2019-11-15,5388
"441","UMR(Jankowski)","M786.2C",1996-12-31,2019-11-15,5445
"442","UMR(Jankowski)","MQ02.1M",1996-12-31,2019-10-08,4323
"443","UMR(Jankowski)","SG16.2C",1996-12-31,2019-11-15,4720
"444","UMR(Jankowski)","WP02.6M",1996-12-30,2019-11-15,4913
